CNPJ emit.;Emitente;No.;Data Emissão;Valor NF;Data Registro;Créditos;Situação do Crédito
03.476.811/0741-98;DIA BRASIL SOCIEDADE LIMITADA;537;30/06/2017;24,68;30/06/2017;0;Liberado
43.101.310/0001-05;AUTO POSTO ZANWAL LTDA EPP;2894;30/06/2017;50;30/06/2017;0;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;699;30/06/2017;27;30/06/2017;0,44;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;698;30/06/2017;111,5;30/06/2017;1,81;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;694;30/06/2017;125;30/06/2017;2,03;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6699;30/06/2017;23,8;30/06/2017;0,38;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6698;30/06/2017;56;30/06/2017;0,91;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;692;30/06/2017;49;30/06/2017;0,79;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6697;30/06/2017;189;30/06/2017;3,08;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6696;30/06/2017;25;30/06/2017;0,4;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;691;30/06/2017;44;30/06/2017;0,71;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;690;30/06/2017;112;30/06/2017;1,82;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6694;30/06/2017;26,7;30/06/2017;0,43;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;689;30/06/2017;36;30/06/2017;0,58;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;688;30/06/2017;36;30/06/2017;0,58;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;686;30/06/2017;59;30/06/2017;0,96;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;685;30/06/2017;56;30/06/2017;0,91;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6692;30/06/2017;42;30/06/2017;0,68;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6691;30/06/2017;99;30/06/2017;1,61;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;683;30/06/2017;62,47;30/06/2017;1,01;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;682;30/06/2017;48;30/06/2017;0,78;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;681;30/06/2017;227;30/06/2017;3,7;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6689;30/06/2017;49;30/06/2017;0,79;Liberado
00.016.969/0001-50;AUTO POSTO LIDER SANTOS DUMONT LT;6373;30/06/2017;36,1;30/06/2017;0;Liberado
43.101.310/0001-05;AUTO POSTO ZANWAL LTDA EPP;2872;30/06/2017;15;30/06/2017;0;Liberado
01.711.296/0001-11;DROGARIA SABIN LTDA EPP;65964;30/06/2017;12,56;30/06/2017;0,31;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6687;30/06/2017;52;30/06/2017;0,84;Liberado
02.340.041/0001-52;PORTO SEGURO PROT. E MONIT. LTDA;247731;30/06/2017;270;30/06/2017;0;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6686;30/06/2017;29;30/06/2017;0,47;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6685;30/06/2017;31;30/06/2017;0,5;Liberado
62.720.909/0001-71;AGNALDO ANDRADE AVILA ME;51437;30/06/2017;2,29;30/06/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;25077;30/06/2017;290,42;30/06/2017;0;Liberado
73.160.129/0002-11;DESEJO DE CAFE LTDA ME;168131;30/06/2017;60,8;10/07/2017;0;Liberado
73.160.129/0002-11;DESEJO DE CAFE LTDA ME;168132;30/06/2017;31,9;10/07/2017;0;Liberado
73.160.129/0002-11;DESEJO DE CAFE LTDA ME;168133;30/06/2017;32,4;10/07/2017;0;Liberado
73.160.129/0002-11;DESEJO DE CAFE LTDA ME;168134;30/06/2017;25,9;10/07/2017;0;Liberado
73.160.129/0002-11;DESEJO DE CAFE LTDA ME;168137;30/06/2017;69,8;10/07/2017;0;Liberado
73.160.129/0002-11;DESEJO DE CAFE LTDA ME;168138;30/06/2017;6,9;10/07/2017;0;Liberado
73.160.129/0002-11;DESEJO DE CAFE LTDA ME;168139;30/06/2017;6,9;10/07/2017;0;Liberado
73.160.129/0002-11;DESEJO DE CAFE LTDA ME;168140;30/06/2017;6,9;10/07/2017;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;451473;30/06/2017;290,42;06/07/2017;74,94;Liberado
43.335.371/0001-37;PANIFICADORA ALFHAVILLE LTDA ME;421;29/06/2017;40;29/06/2017;0;Liberado
43.101.310/0001-05;AUTO POSTO ZANWAL LTDA EPP;2845;29/06/2017;6;29/06/2017;0;Liberado
60.458.247/0001-88;AUTO POSTO AJOMAR LTDA;18309;29/06/2017;155;29/06/2017;0;Liberado
43.101.310/0001-05;AUTO POSTO ZANWAL LTDA EPP;2838;29/06/2017;20;29/06/2017;0;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6674;29/06/2017;88;29/06/2017;1,43;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6673;29/06/2017;46;29/06/2017;0,75;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;679;29/06/2017;51;29/06/2017;0,83;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;678;29/06/2017;55;29/06/2017;0,89;Liberado
23.750.257/0001-66;OFICINA DO TRIGO PASTIFICIO PANIFICADORA BAR E RE;6662;29/06/2017;20;29/06/2017;0,32;Liberado
