CNPJ emit.;Emitente;No.;Data Emissão;Valor NF;Data Registro;Créditos;Situação do Crédito
09.525.900/0007-12;SUPERMERCADO ROSSI NEW LTDA;277035;30/06/2019;60,69;30/06/2019;62,82;Liberado
32.651.632/0001-01;R A SIQUEIRA FAZENDAS URBANAS;156;30/06/2019;62;30/06/2019;0;Liberado
06.347.409/0145-49;SBF COMERCIO DE PRODUTOS ESPORTIVOS LTDA;18713;30/06/2019;379,98;30/06/2019;0;Liberado
45.543.915/0357-24;CARREFOUR COM E IND LTDA;51798;30/06/2019;25,86;30/06/2019;0;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;430036;30/06/2019;31,57;04/07/2019;5,74;Liberado
53.153.938/0017-75;COBASI COMERCIO DE PRODUTOS BASICOS E INDUSTRIALI;7699;30/06/2019;8,9;30/06/2019;4,48;Liberado
07.165.375/0001-50;FEDERZONI SERPA COMERCIO DE ALIMENTOS LTDA;333044;30/06/2019;100,3;30/06/2019;5,42;Liberado
61.412.110/0366-99;DROGARIA SAO PAULO S A;134610;30/06/2019;51,39;30/06/2019;0;Liberado
61.585.865/0180-18;RAIA DROGASIL S A;109830;30/06/2019;113,9;30/06/2019;0;Liberado
07.984.267/0118-10;STARBUCKS BRASIL COMERCIO DE CAFES LTDA;241404;30/06/2019;24,75;30/06/2019;17,41;Liberado
26.072.717/0002-13;CATU COMERCIO DE COSMETICOS EMPRESA INDIVIDUAL DE;10472;30/06/2019;65;30/06/2019;0;Liberado
61.075.594/0019-13;GEP INDÚSTRIA E COMÉRCIO LTDA;7222;30/06/2019;249;30/06/2019;0;Liberado
47.508.411/0619-61;COMPANHIA BRASILEIRA DE DISTRIBUICAO;156185;30/06/2019;193,84;30/06/2019;0;Liberado
47.508.411/1091-66;COMPANHIA BRASILEIRA DE DISTRIBUICAO;266061;30/06/2019;23,11;30/06/2019;0;Liberado
31.470.871/0001-00;WMZ COMERCIO DE ALIMENTOS LTDA;6090;30/06/2019;844,81;30/06/2019;3,82;Liberado
45.543.915/0623-73;CARREFOUR COM. E IND. LTDA;85313;30/06/2019;9,78;30/06/2019;0;Liberado
47.508.411/1700-78;COMPANHIA BRASILEIRA DE DISTRIBUICAO;55482;30/06/2019;363,85;30/06/2019;0;Liberado
