CNPJ emit.;Emitente;No.;Data Emissão;Valor NF;Data Registro;Créditos;Situação do Crédito
61.412.110/0192-55;DROGARIA SAO PAULO S.A;128488;31/12/2021;21,59;31/12/2021;0;Calculado
24.120.893/0001-77;CB ANHEMBI COMERCIO DE ALIMENTOS LTDA;555624;31/12/2021;181,91;31/12/2021;1,81;Calculado
47.508.411/0006-60;CIA BRASILEIRA DE DISTRIBUICAO;117783;31/12/2021;188,04;31/12/2021;0;Calculado
47.508.411/0288-32;CIA BRASILEIRA DE DISTRIBUICAO;113715;31/12/2021;103,12;31/12/2021;0;Calculado
45.543.915/0358-05;CARREFOUR COM. E IND. LTDA;222025;31/12/2021;308,1;31/12/2021;0;Calculado
17.547.741/0001-90;CBAF COMERCIO DE ALIMENTOS LTDA;303657;31/12/2021;386,01;31/12/2021;4,12;Calculado
29.606.766/0014-10;EA9 FASHION COMERCIO DE ROUPAS E CALCADOS LTDA;23544;31/12/2021;59,99;31/12/2021;0;Calculado
61.192.795/0002-52;DIAS PASTORINHO S A COMERCIO E INDUSTRIA;229170;31/12/2021;91,18;31/12/2021;1,62;Calculado
44.480.747/0001-60;ANDORINHA SUPERMERCADO LT;135331;31/12/2021;54,01;31/12/2021;0,76;Calculado
45.543.915/0230-41;CARREFOUR COM. E IND. LTDA;265304;31/12/2021;127,66;31/12/2021;0;Calculado
18.303.320/0008-52;CRESCO COMERCIO DE ALIMENTOS LTDA;112520;31/12/2021;51,37;31/12/2021;0;Calculado
06.057.223/0244-37;SENDAS DISTRIBUIDORA S A;240522;31/12/2021;158,79;31/12/2021;0;Calculado
06.057.223/0263-08;SENDAS DISTRIBUIDORA S A;281456;31/12/2021;7,13;31/12/2021;0;Calculado
04.343.477/0001-20;GOOD BREAD TATUAPE LTDA;16369;31/12/2021;150,6;31/12/2021;3,36;Calculado
05.881.154/0001-53;EGEO COMERCIO DE PERFUMES E COSMETICOS LTDA;29055;31/12/2021;187,51;31/12/2021;5,05;Calculado
10.351.307/0001-90;AUTO POSTO REDE LESTE COMERCIO DE COMBUSTIVEIS LTDA;459737;31/12/2021;30;31/12/2021;0;Calculado
