CNPJ emit.;Emitente;No.;Data Emissão;Valor NF;Data Registro;Créditos;Situação do Crédito
33.542.651/0001-62;ELIEZER PIGOSSI DE GODOY 33323596811;1127;30/06/2021;41,9;30/06/2021;0;Liberado
21.816.213/0001-66;ICTUS INDUSTRIA, COMERCIO, IMPORTACAO E EXPORTACAO EIRELI;382691;30/06/2021;27,91;30/06/2021;0;Liberado
28.105.907/0001-34;SIMONE DE OLIVEIRA COMERCIO;29863;30/06/2021;59,98;30/06/2021;0;Liberado
18.328.118/0148-35;PET CENTER COMERCIO E PARTICIPACOES S A;33068;30/06/2021;25,48;30/06/2021;0,14;Liberado
33.487.269/0001-01;BELEZA RENOVADA COMERCIO VAREJISTA DE COSMETICOS E PERFUMARI;75604;30/06/2021;24,74;30/06/2021;0;Liberado
60.341.427/0001-85;MERCADINHO KI PRECO BAIXO LTDA;378883;30/06/2021;488,25;30/06/2021;290,9;Liberado
47.427.653/0014-30;MAKRO ATACADISTA S A;314826;30/06/2021;388,13;30/06/2021;0;Liberado
00.489.852/0003-56;PRECO CERTO DISTRIBUIDOR E COMERCIO EIRELI;671252;30/06/2021;93,15;01/07/2021;3,3;Liberado
15.436.940/0008-71;AMAZON SERVICOS DE VAREJO DO BRASIL LTDA;170846;30/06/2021;18,5;30/06/2021;0;Liberado
15.436.940/0001-03;AMAZON SERVICOS DE VAREJO DO BRASIL LTDA;75723646;30/06/2021;0;30/06/2021;0;Liberado
15.436.940/0001-03;AMAZON SERVICOS DE VAREJO DO BRASIL LTDA;75723413;30/06/2021;0;30/06/2021;0;Liberado
15.436.940/0001-03;AMAZON SERVICOS DE VAREJO DO BRASIL LTDA;75723294;30/06/2021;0;30/06/2021;0;Liberado
15.436.940/0001-03;AMAZON SERVICOS DE VAREJO DO BRASIL LTDA;75723104;30/06/2021;0;30/06/2021;0;Liberado
15.436.940/0001-03;AMAZON SERVICOS DE VAREJO DO BRASIL LTDA;75722850;30/06/2021;0;30/06/2021;0;Liberado
05.241.596/0021-89;DROGARIA NOVA DM LTDA;388426;30/06/2021;78,97;30/06/2021;9,72;Liberado
67.954.404/0002-76;SS COM DE ALIMENTOS LT;530046;30/06/2021;98,27;01/07/2021;1,61;Liberado
14.282.227/0001-81;CBJK COMERCIO DE ALIMENTOS LTDA;294818;30/06/2021;122,8;30/06/2021;1,15;Liberado
42.591.651/1299-36;ARCOS DOURADOS COMERCIO DE ALIMENTOS SA;316885;30/06/2021;42,8;30/06/2021;18,24;Liberado
30.550.110/0004-30;MAX C3 COMERCIO VAREJISTA LTDA;26014;30/06/2021;27,99;30/06/2021;0;Liberado
00.776.574/0022-80;B2W Companhia Digital;15606153;30/06/2021;30,96;30/06/2021;0;Liberado
19.402.264/0001-08;MELCHI COMERCIO DE ALIMENTOS UNIPESSOAL LTDA;64540;30/06/2021;16,9;30/06/2021;0,63;Liberado
45.543.915/0357-24;CARREFOUR COMERCIO E INDUSTRIA LTDA;222259;30/06/2021;42,05;30/06/2021;0;Liberado
02.664.171/0001-40;MERCADO REAL PIRITUBA LTDA;48378;30/06/2021;9,6;30/06/2021;1,43;Liberado
62.545.579/0011-05;COMERCIAL DE ALIMENTOS CARREFOUR LTDA.;534609;30/06/2021;26,85;30/06/2021;3,19;Liberado
47.508.411/1098-32;CIA BRASILEIRA DE DISTRIBUICAO;140032;30/06/2021;14,82;30/06/2021;0;Liberado
28.227.052/0002-03;BELEZARIA COSMETICOS EIRELI;17805;30/06/2021;100,7;30/06/2021;0;Liberado
46.241.741/0003-27;SUPERMERCADOS DALBEN LTDA;92153;30/06/2021;63,35;01/07/2021;9,01;Liberado
00.339.682/0001-61;ORQUIDEA PEROLA PAES E DOCES LTDA;123970;30/06/2021;65,53;30/06/2021;21,95;Liberado
61.106.621/0001-49;LISBOA INDUSTRIA DE PANIFICACAO LTDA;14220;30/06/2021;10,28;30/06/2021;0,11;Liberado
02.914.460/0405-35;SEARA ALIMENTOS LTDA;45065;30/06/2021;75,75;30/06/2021;0;Liberado
02.543.945/0001-85;ULTRAFARMA SAUDE EIRELI;30521;30/06/2021;60,29;30/06/2021;0;Liberado
02.914.460/0405-35;SEARA ALIMENTOS LTDA;45064;30/06/2021;47,74;30/06/2021;0;Liberado
04.742.665/0002-02;MERCADO VIOLETA LTDA;63374;30/06/2021;110,16;30/06/2021;7,78;Liberado
47.508.411/0288-32;CIA BRASILEIRA DE DISTRIBUICAO;116046;30/06/2021;29,2;30/06/2021;0;Liberado
66.720.921/0001-37;BOM BAIANO DISTRIBUIDORA DE DOCES LTDA;160163;30/06/2021;192,23;01/07/2021;1,31;Liberado
06.057.223/0422-57;SENDAS DISTRIBUIDORA S A;12369;30/06/2021;384,41;30/06/2021;0;Liberado
05.800.256/0010-98;ROLDAO AUTO SERVICO COMERCIO DE ALIMENTOS S A;58233;30/06/2021;551,07;30/06/2021;0;Liberado
45.841.368/0001-10;DEPOSITO NILO MATS.CONSTR LTDA.;364124;30/06/2021;116,9;30/06/2021;0;Liberado
24.221.416/0001-06;SANKYM COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;32878;30/06/2021;155,35;01/07/2021;0;Liberado
92.754.738/0331-76;LOJAS RENNER S.A;39771;30/06/2021;119,9;30/06/2021;0;Liberado
