CNPJ emit.;Emitente;No.;Data Emissão;Valor NF;Data Registro;Créditos;Situação do Crédito
69.202.539/0001-20;MERCEARIA RENATA EIRELI;107785;31/12/2020;22,15;31/12/2020;0,29;Liberado
61.585.865/1934-48;RAIA DROGASIL S A;17295;31/12/2020;30,65;31/12/2020;0,89;Liberado
18.915.832/0001-01;MINI MERCADO TESTAE EIRELI;253246;31/12/2020;212,4;31/12/2020;0;Liberado
18.047.578/0001-69;FLAVIO ISAIAS MARQUES;41172;31/12/2020;57,99;31/12/2020;18,61;Liberado
75.315.333/0060-69;ATACADAO S A;6829;31/12/2020;173,03;31/12/2020;41,06;Liberado
61.585.865/0020-14;RAIA DROGASIL S A;37543;31/12/2020;112,07;31/12/2020;6,56;Liberado
74.214.404/0001-14;DOCERIA FANI LTDA;13440;31/12/2020;48,22;31/12/2020;233,04;Liberado
02.914.460/0405-35;SEARA ALIMENTOS LTDA;32405;31/12/2020;30,88;31/12/2020;0;Liberado
02.914.460/0405-35;SEARA ALIMENTOS LTDA;32404;31/12/2020;109,57;31/12/2020;0;Liberado
01.937.635/0009-30;SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S A;58848;31/12/2020;124,69;31/12/2020;37,33;Liberado
34.019.246/0001-27;DOCERIA KIORELLE LTDA;30201;31/12/2020;19,01;03/01/2021;0;Liberado
47.508.411/0004-07;CIA BRASILEIRA DE DISTRIBUICAO;57705;31/12/2020;54,99;31/12/2020;0;Liberado
47.508.411/0004-07;CIA BRASILEIRA DE DISTRIBUICAO;57704;31/12/2020;303,46;31/12/2020;0;Liberado
45.495.694/0021-67;SUPER MERCADO SAO ROQUE LTDA;101732;31/12/2020;220,87;31/12/2020;114,63;Liberado
61.192.795/0002-52;DIAS PASTORINHO S A COMERCIO E INDUSTRIA;75631;31/12/2020;35,39;31/12/2020;0,54;Liberado
09.536.662/0001-55;RODOSNACK G e G LANCHONETE E RESTAURANTE LTDA;39790;31/12/2020;22,57;31/12/2020;0,25;Liberado
09.536.662/0001-55;RODOSNACK G e G LANCHONETE E RESTAURANTE LTDA;53090;31/12/2020;23,1;31/12/2020;0,26;Liberado
47.508.411/0486-04;CIA BRASILEIRA DE DISTRIBUICAO;53593;31/12/2020;73,24;31/12/2020;0;Liberado
34.906.443/0001-68;Editora e Comercio Valongo Ltda.;35548;31/12/2020;26,1;05/01/2021;0;Liberado
47.960.950/0943-55;MAGAZINE LUIZA SA;4725;31/12/2020;140,7;31/12/2020;0;Liberado
42.591.651/0254-80;ARCOS DOURADOS COMERCIO DE ALIMENTOS SA;8877;31/12/2020;61,8;31/12/2020;38,36;Liberado
60.384.682/0001-05;CASA DE CARNES J R GIMENEZ LTDA;26570;31/12/2020;161,94;31/12/2020;11,5;Liberado
00.787.097/0001-24;ZE BOLACHA COMERCIO DE GENEROS ALIMENTICIOS LTDA ;303464;31/12/2020;51,23;31/12/2020;42,24;Liberado
56.527.062/0003-72;SUPERMERCADO HIROTA LT;306376;31/12/2020;222,54;31/12/2020;5,37;Liberado
56.527.062/0001-00;SUPERMERCADO HIROTA LT;98356;31/12/2020;65,48;31/12/2020;3,3;Liberado
00.965.101/0001-05;CELSO AKIRA GOYA;35403;31/12/2020;84,48;31/12/2020;1,81;Liberado
43.682.798/0001-01;PAES E DOCES CACONDE LTDA;14113;31/12/2020;55,19;31/12/2020;0,15;Liberado
07.705.530/0005-08;MIXTER ATACADO E VAREJO DE GENEROS ALIMENTICIOS L;172865;31/12/2020;129,41;31/12/2020;0;Liberado
14.050.830/0001-38;LOJA DE CONVENIENCIAS BIG BREAD LTDA;19567;31/12/2020;38,66;31/12/2020;13,46;Liberado
05.441.505/0001-05;YAMAGUCHI E KUNIYOSHI LTDA;41935;31/12/2020;28;31/12/2020;10,77;Liberado
59.276.790/0028-03;COMERCIAL OSWALDO CRUZ LIMITADA;7160;31/12/2020;50,21;31/12/2020;0;Liberado
