CNPJ emit.;Emitente;No.;Data Emissão;Valor NF;Data Registro;Créditos;Situação do Crédito
47.508.411/1457-15;COMPANHIA BRASILEIRA DE DISTRIBUICAO;91209;30/06/2018;75,44;30/06/2018;0;Liberado
61.092.565/0001-30;MADIS RODBEL SOL. DE PONTO E ACESSO LTDA;122732;30/06/2018;313,75;30/06/2018;0;Liberado
35.943.604/0020-19;TERRAS DE AVENTURA INDUSTRIA DE ARTIGOS ESPORTIVOS S A;3180;30/06/2018;497;30/06/2018;257;Liberado
14.596.528/0009-37;LPQBR RESTAURANTES E PADARIAS LTDA;87433;30/06/2018;111,3;30/06/2018;5,26;Liberado
47.508.411/1457-15;CIA. BRASILEIRA DE DISTRIBUI  O;327904;30/06/2018;183,05;01/07/2018;0;Liberado
49.669.856/0003-05;RESTOQUE COMERCIO E CONFECCOES DE ROUPAS S A;32324;29/06/2018;299,95;29/06/2018;246,8;Liberado
54.651.716/0011-50;SUPRICORP SUPRIMENTOS LTDA;3349698;29/06/2018;849,5;30/06/2018;0;Liberado
12.846.956/0004-30;ASSOCIACAO AFAM DE ASSISTENCIA FARMACEUTICA;45204;29/06/2018;127,69;29/06/2018;0;Liberado
62.480.041/0001-80;AUTO POSTO PARELHEIROS LTDA;65157;29/06/2018;30,02;29/06/2018;0;Liberado
60.409.075/0470-35;NESTLE BRASIL LTDA;603614;29/06/2018;97,99;29/06/2018;0;Liberado
21.132.232/0002-54;DOCERIA IRMAS COGO LTDA EPP;18196;29/06/2018;29,9;29/06/2018;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;4716;29/06/2018;648,18;29/06/2018;92,92;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;4713;29/06/2018;756,68;29/06/2018;108,48;Liberado
01.273.052/0001-02;RED ROOF RESTAURANTES LTDA ME;55743;29/06/2018;46,43;29/06/2018;0;Liberado
04.778.895/0001-40;MHT Tecnologia e Importacao Eireli;248749;29/06/2018;184,23;29/06/2018;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA;5542;29/06/2018;131,21;29/06/2018;18,81;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;30714;29/06/2018;131,21;29/06/2018;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;30724;29/06/2018;648,18;29/06/2018;0;Liberado
67.616.128/0001-55;MERCADINHO AYUMI LTDA - 1;30725;29/06/2018;756,68;29/06/2018;0;Liberado
56.991.441/0008-23;AVON COSMETICOS LTDA;117702725;29/06/2018;729,4;29/06/2018;0;Liberado
13.533.862/0001-21;CHIBRAS SUPERMERCADO LTDA - EPP;14042;29/06/2018;104,46;17/07/2018;6,72;Liberado
19.947.409/0001-48;RESTAURANTE MANIOCA FARIA LIMA LTDA;170972;28/06/2018;222,61;28/06/2018;2,45;Liberado
07.611.230/0001-36;M C AFONSO COMERCIO DE PAES E DOCES LTDA;289945;28/06/2018;7,23;28/06/2018;1,15;Liberado
52.689.361/0019-10;JAPAUTO SAO PAULO DISTR. DE MOTOS E VEICULOS LTDA.;9084;28/06/2018;137,45;28/06/2018;0;Liberado
21.132.232/0002-54;DOCERIA IRMAS COGO LTDA EPP;18046;28/06/2018;9,23;28/06/2018;0;Liberado
42.274.696/0025-61;adidas do Brasil Ltda;2535813;28/06/2018;250,02;28/06/2018;0;Liberado
07.747.540/0001-82;D CAMPOS DE SOUZA ME;191767;28/06/2018;13,8;28/06/2018;0,73;Liberado
