CNPJ emit.;Emitente;No.;Data Emissão;Valor NF;Data Registro;Créditos;Situação do Crédito
05.234.750/0001-41;TX BURGER LTDA;77882;01/01/2020;78,8;08/01/2020;0;A Calcular
47.508.411/1476-88;CIA BRASILEIRA DE DISTRIBUICAO;20087;01/01/2020;22,71;01/01/2020;0;A Calcular
09.060.964/0108-39;PIMENTA VERDE ALIMENTOS LTDA;82366;01/01/2020;35,9;08/01/2020;0;A Calcular
61.412.110/0307-39;DROGARIA SAO PAULO S A;234178;01/01/2020;21,77;08/01/2020;0;A Calcular
46.952.032/0001-98;PANIFICADORA E CONFEITARIA QUELUZ LTDA;3305;01/01/2020;80,95;08/01/2020;0;A Calcular
42.591.651/2130-58;ARCOS DOURADOS COMERCIO DE ALIMENTOS LTDA;438;01/01/2020;44,1;08/01/2020;0;A Calcular
61.412.110/0645-52;DROGARIA SAO PAULO S.A;4590;01/01/2020;114,25;01/01/2020;0;A Calcular
08.446.126/0001-04;COMERCIAL DE ALIMENTOS DA ILHA LTDA;3795;01/01/2020;150,29;08/01/2020;0;A Calcular
20.383.054/0002-71;SUPERMERCADO HANJO LTDA;710759;01/01/2020;35,95;08/01/2020;0;A Calcular
61.412.110/0704-47;DROGARIA SAO PAULO S.A;5251;01/01/2020;41,2;01/01/2020;0;A Calcular
22.734.456/0001-18;AUTO POSTO VIADUTO DE FRANCO LTDA;260371;01/01/2020;50;08/01/2020;0;A Calcular
09.646.801/0001-01;COMERCIAL BIGUS DE ALIMENTOS LTDA;259210;01/01/2020;63,75;03/01/2020;0;A Calcular
27.282.107/0001-26;SJ COMPANY COMERCIO E SERVICOS DE INFORMATICA E ACESSORIOS A;6553;31/12/2019;32,39;31/12/2019;0;Liberado
47.508.411/0286-70;CIA BRASILEIRA DE DISTRIBUICAO;14500;31/12/2019;3,6;31/12/2019;0;Liberado
45.543.915/0375-06;CARREFOUR COMERCIO E INDUSTRIA LTDA;226307;31/12/2019;49,38;31/12/2019;0;Liberado
50.974.732/0002-31;COOPERATIVA DE CONSUMO COOPERCICA;22267;31/12/2019;79,33;31/12/2019;0,17;Liberado
45.543.915/0509-52;CARREFOUR COMERCIO E INDUSTRIA LTDA;188662;31/12/2019;168,79;31/12/2019;0,82;Liberado
13.533.862/0001-21;CHIBRAS SUPERMERCADO LTDA;23981;31/12/2019;31,26;31/12/2019;0,58;Liberado
47.508.411/0486-04;CIA BRASILEIRA DE DISTRIBUICAO;7808;31/12/2019;51,18;31/12/2019;0;Liberado
47.508.411/1207-20;CIA BRASILEIRA DE DISTRIBUICA;23319;31/12/2019;126,88;31/12/2019;0,45;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA;3499;31/12/2019;80;31/12/2019;0,12;Liberado
47.508.411/0965-95;CIA BRASILEIRA DE DISTRIBUICAO;8391;31/12/2019;98,67;31/12/2019;0;Liberado
31.089.847/0001-18;FF COMERCIO DE MEDICAMENTOS LTDA;38614;31/12/2019;14,98;31/12/2019;0,33;Liberado
17.681.547/0001-00;CHD CONFEITARIA LTDA;50029;31/12/2019;68,26;09/01/2020;0;Liberado
11.189.392/0007-90;COMERCIAL DE ALIMENTOS RED LTDA;235439;31/12/2019;23,18;31/12/2019;0;Liberado
47.508.411/1460-10;CIA BRAS. DE DISTRIBUICAO;8057;31/12/2019;40,59;31/12/2019;0;Liberado
26.324.334/0001-04;SHOPPING DO REAL ROSARIO LTDA;33512;31/12/2019;25;31/12/2019;36,21;Liberado
49.930.415/0001-53;H ROMANO e CIA LTDA;3498;31/12/2019;150;31/12/2019;0,22;Liberado
71.100.432/0005-46;CENTRAL COML E IMPORTADORA LT;501471;31/12/2019;125,04;31/12/2019;0;Liberado
57.508.426/0006-82;COOP COOPERATIVA DE CONSUMO;166215;31/12/2019;31,98;31/12/2019;2,97;Liberado
01.438.784/0026-55;LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM;48026;31/12/2019;100,59;31/12/2019;67,25;Liberado
54.424.098/0001-33;CASA BRANCA DO MORUMBI PAES E DOCES LTDA;17385;31/12/2019;66,8;31/12/2019;50,61;Liberado
01.937.635/0008-59;SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S A;37211;31/12/2019;28,21;31/12/2019;10,43;Liberado
07.165.375/0001-50;FEDERZONI SERPA COMERCIO DE ALIMENTOS LTDA;709561;31/12/2019;125,28;31/12/2019;11,66;Liberado
45.242.914/0302-76;CeA MODAS S A;57129;31/12/2019;59,99;31/12/2019;137,95;Liberado
01.937.635/0006-97;SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S A;29924;31/12/2019;66,25;31/12/2019;14,31;Liberado
09.253.353/0001-78;REIMBERG COMERCIO DE ALIMENTOS E PLANTAS LTDA;1102;31/12/2019;20,96;31/12/2019;4,15;Liberado
06.347.409/0294-90;SBF COMERCIO DE PRODUTOS ESPORTIVOS LTDA;74055;31/12/2019;79,99;31/12/2019;54;Liberado
52.130.481/0025-20;DAVO SUPERMERCADOS LTDA;12007;31/12/2019;150,2;31/12/2019;45,5;Liberado
