CNPJ emit.;Emitente;No.;Data Emissão;Valor NF;Data Registro;Créditos;Situação do Crédito
64.963.044/0001-08;FARMACLUB DROGARIAS LTDA;3114110;30/06/2020;179,55;30/06/2020;0;Liberado
00.776.574/0022-80;B2W Companhia Digital;9344628;30/06/2020;63,38;30/06/2020;0;Liberado
13.986.197/0002-02;LOJA ELECTROLUX COM VIRTUAL DE ELET;387412;30/06/2020;396,41;30/06/2020;0;Liberado
61.585.865/0703-62;RAIADROGASIL S/A;8121;30/06/2020;53,9;30/06/2020;0;Liberado
15.436.940/0003-67;AMAZON SERVICOS DE VAREJO DO BRASIL LTDA;5889036;30/06/2020;32,9;30/06/2020;0;Liberado
56.527.062/0016-97;SUPERMERCADO HIROTA LT;19636;30/06/2020;12,89;30/06/2020;0,77;Liberado
12.264.015/0001-46;DOCES DOCELANDIA e VAZ EIRELI;286492;30/06/2020;167,38;30/06/2020;7,11;Liberado
06.057.223/0269-95;SENDAS DISTRIBUIDORA S A;171729;30/06/2020;678,25;30/06/2020;0;Liberado
01.937.635/0020-45;SONDA SUPERMERCADOS EXPORTACAO E IMPORTACAO S A;49225;30/06/2020;135;30/06/2020;7,75;Liberado
61.585.865/0550-53;RAIA DROGASIL S A;37448;30/06/2020;70,44;30/06/2020;0;Liberado
08.479.223/0001-95;ONISSK COMERCIO VESTUARIO LTDA;970;30/06/2020;301,1;30/06/2020;56,4;Liberado
43.721.596/0001-21;MERCADINHO EXPRESSO LT;83322;30/06/2020;92,61;30/06/2020;3,3;Liberado
61.097.101/0001-17;DROGARIA SIQUEIRA BUENO LTDA;120114;30/06/2020;50,49;30/06/2020;5,26;Liberado
58.811.878/0001-97;BITTI e BONIN LTDA;156988;30/06/2020;195,53;30/06/2020;0;Liberado
58.731.662/0231-62;CD-ARA (B2C)-ECOM;122396;30/06/2020;157,96;30/06/2020;0;Liberado
61.585.865/1016-91;RAIA DROGASIL S A;11037;30/06/2020;32,38;30/06/2020;0;Liberado
61.412.110/0286-70;DROGARIA SAO PAULO S.A;28058;30/06/2020;261,24;30/06/2020;0;Liberado
61.412.110/1005-32;DROGARIA SAO PAULO SA (DSP2180);151380;30/06/2020;120,51;30/06/2020;0;Liberado
63.004.030/0008-62;C e C CASA E CONSTRUCAO LTDA;74806;30/06/2020;20,48;30/06/2020;6,42;Liberado
12.457.668/0003-03;EWS FARMA COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;1050;30/06/2020;9,99;30/06/2020;1,62;Liberado
06.057.223/0366-05;SENDAS DISTRIBUIDORA S A;51084;30/06/2020;577,45;30/06/2020;0;Liberado
10.774.203/0001-99;E PEREIRA MORELLI INDUSTRIA E COMERCIO EIRELI;1715;30/06/2020;13,99;30/06/2020;0;Liberado
15.427.207/0009-71;INFRACOMMERCE NEGOCIOS E SOLUCOES EM INTERNET LTDA.;133866;30/06/2020;58,86;30/06/2020;0;Liberado
